Actual_Class,Fraud_Probability,Risk_Score,Risk_Category,Recommended_Action
0,0.006466513,1,Low Risk,Auto Approve
0,0.7516757,75,High Risk,Manual Investigation
0,8.9412235e-05,0,Low Risk,Auto Approve
0,0.030369138,3,Low Risk,Auto Approve
0,0.18964328,19,Low Risk,Auto Approve
0,0.0058111483,1,Low Risk,Auto Approve
0,0.0006078311,0,Low Risk,Auto Approve
0,0.011339406,1,Low Risk,Auto Approve
0,0.02492297,2,Low Risk,Auto Approve
0,0.022367408,2,Low Risk,Auto Approve
0,0.71069396,71,High Risk,Manual Investigation
0,0.004733223,0,Low Risk,Auto Approve
0,0.008453641,1,Low Risk,Auto Approve
0,0.011913983,1,Low Risk,Auto Approve
0,0.013650702,1,Low Risk,Auto Approve
0,0.00548237,1,Low Risk,Auto Approve
0,0.0047920235,0,Low Risk,Auto Approve
0,0.008147204,1,Low Risk,Auto Approve
0,0.07442277,7,Low Risk,Auto Approve
0,0.025993139,3,Low Risk,Auto Approve
0,0.0024018816,0,Low Risk,Auto Approve
0,0.24994667,25,Low Risk,Auto Approve
0,0.01929693,2,Low Risk,Auto Approve
0,0.712525,71,High Risk,Manual Investigation
0,0.13624546,14,Low Risk,Auto Approve
0,0.3421318,34,Medium Risk,Quick Verification
0,0.012121129,1,Low Risk,Auto Approve
0,0.0023739936,0,Low Risk,Auto Approve
0,0.76602066,77,Critical Risk,Fraud Investigation Team
0,0.07796646,8,Low Risk,Auto Approve
0,0.0008946732,0,Low Risk,Auto Approve
0,0.00027151834,0,Low Risk,Auto Approve
0,0.7117622,71,High Risk,Manual Investigation
1,0.7802427,78,Critical Risk,Fraud Investigation Team
0,0.13487615,13,Low Risk,Auto Approve
0,0.68203837,68,High Risk,Manual Investigation
0,0.0020572003,0,Low Risk,Auto Approve
0,0.12972328,13,Low Risk,Auto Approve
0,0.2649661,26,Medium Risk,Quick Verification
0,0.792372,79,Critical Risk,Fraud Investigation Team
1,0.7268029,73,High Risk,Manual Investigation
0,0.9499621,95,Critical Risk,Fraud Investigation Team
0,0.007110537,1,Low Risk,Auto Approve
0,0.029253643,3,Low Risk,Auto Approve
0,0.37109202,37,Medium Risk,Quick Verification
0,0.62279236,62,High Risk,Manual Investigation
1,0.22175047,22,Low Risk,Auto Approve
0,0.16116557,16,Low Risk,Auto Approve
0,0.005424121,1,Low Risk,Auto Approve
0,0.46278298,46,Medium Risk,Quick Verification
0,0.8368395,84,Critical Risk,Fraud Investigation Team
0,0.75373447,75,High Risk,Manual Investigation
0,0.049697928,5,Low Risk,Auto Approve
0,0.7987185,80,Critical Risk,Fraud Investigation Team
0,0.0022367311,0,Low Risk,Auto Approve
0,0.001267877,0,Low Risk,Auto Approve
0,0.0003619256,0,Low Risk,Auto Approve
0,0.0012387773,0,Low Risk,Auto Approve
0,0.012623606,1,Low Risk,Auto Approve
0,0.0057217143,1,Low Risk,Auto Approve
0,0.07749062,8,Low Risk,Auto Approve
0,0.009135185,1,Low Risk,Auto Approve
1,0.24768046,25,Low Risk,Auto Approve
0,0.0559798,6,Low Risk,Auto Approve
0,0.2693826,27,Medium Risk,Quick Verification
0,0.020430367,2,Low Risk,Auto Approve
0,0.00047719252,0,Low Risk,Auto Approve
0,0.46264496,46,Medium Risk,Quick Verification
0,0.2063019,21,Low Risk,Auto Approve
0,0.008509106,1,Low Risk,Auto Approve
0,0.24149756,24,Low Risk,Auto Approve
0,0.00064463104,0,Low Risk,Auto Approve
0,0.020758675,2,Low Risk,Auto Approve
0,0.038535677,4,Low Risk,Auto Approve
0,0.0014447805,0,Low Risk,Auto Approve
0,0.035931684,4,Low Risk,Auto Approve
0,0.018829739,2,Low Risk,Auto Approve
0,0.4321301,43,Medium Risk,Quick Verification
0,0.0035821707,0,Low Risk,Auto Approve
0,0.85992235,86,Critical Risk,Fraud Investigation Team
0,0.31442913,31,Medium Risk,Quick Verification
0,0.00073358405,0,Low Risk,Auto Approve
0,0.06084818,6,Low Risk,Auto Approve
0,0.6455785,65,High Risk,Manual Investigation
0,0.53750193,54,High Risk,Manual Investigation
0,0.016678384,2,Low Risk,Auto Approve
0,0.000474874,0,Low Risk,Auto Approve
0,0.5615425,56,High Risk,Manual Investigation
0,0.12940586,13,Low Risk,Auto Approve
0,0.0008155234,0,Low Risk,Auto Approve
0,0.0017505833,0,Low Risk,Auto Approve
0,0.60192704,60,High Risk,Manual Investigation
0,0.797288,80,Critical Risk,Fraud Investigation Team
0,0.3664166,37,Medium Risk,Quick Verification
0,0.45479006,45,Medium Risk,Quick Verification
0,0.295785,30,Medium Risk,Quick Verification
0,0.48923436,49,Medium Risk,Quick Verification
1,0.56802213,57,High Risk,Manual Investigation
0,0.24293354,24,Low Risk,Auto Approve
0,0.00013558102,0,Low Risk,Auto Approve
0,0.07451562,7,Low Risk,Auto Approve
0,0.083324336,8,Low Risk,Auto Approve
0,0.04633542,5,Low Risk,Auto Approve
0,0.024804192,2,Low Risk,Auto Approve
0,0.5544302,55,High Risk,Manual Investigation
0,0.5293547,53,High Risk,Manual Investigation
0,0.008779914,1,Low Risk,Auto Approve
0,0.055364035,6,Low Risk,Auto Approve
0,0.1469196,15,Low Risk,Auto Approve
0,0.14042096,14,Low Risk,Auto Approve
0,0.47717968,48,Medium Risk,Quick Verification
0,0.29816544,30,Medium Risk,Quick Verification
0,0.073608726,7,Low Risk,Auto Approve
0,0.0005310648,0,Low Risk,Auto Approve
0,0.35667652,36,Medium Risk,Quick Verification
1,0.32000422,32,Medium Risk,Quick Verification
0,0.4246861,42,Medium Risk,Quick Verification
0,0.006968859,1,Low Risk,Auto Approve
0,0.0017142816,0,Low Risk,Auto Approve
0,0.0037025867,0,Low Risk,Auto Approve
0,0.078007914,8,Low Risk,Auto Approve
0,0.31346682,31,Medium Risk,Quick Verification
0,0.20318033,20,Low Risk,Auto Approve
0,0.01400549,1,Low Risk,Auto Approve
0,0.13644952,14,Low Risk,Auto Approve
0,0.011965292,1,Low Risk,Auto Approve
0,0.031378023,3,Low Risk,Auto Approve
0,0.017732345,2,Low Risk,Auto Approve
0,0.00025571152,0,Low Risk,Auto Approve
0,0.0075114304,1,Low Risk,Auto Approve
0,0.27194363,27,Medium Risk,Quick Verification
0,0.48438373,48,Medium Risk,Quick Verification
1,0.9412917,94,Critical Risk,Fraud Investigation Team
0,0.010096737,1,Low Risk,Auto Approve
0,0.004699639,0,Low Risk,Auto Approve
0,0.08008328,8,Low Risk,Auto Approve
0,0.5039122,50,Medium Risk,Quick Verification
0,0.037749004,4,Low Risk,Auto Approve
0,0.66882664,67,High Risk,Manual Investigation
0,0.021806058,2,Low Risk,Auto Approve
0,0.21752965,22,Low Risk,Auto Approve
0,0.36777773,37,Medium Risk,Quick Verification
0,0.030710643,3,Low Risk,Auto Approve
0,0.0041171727,0,Low Risk,Auto Approve
0,0.11660738,12,Low Risk,Auto Approve
0,0.7179079,72,High Risk,Manual Investigation
1,0.85352695,85,Critical Risk,Fraud Investigation Team
0,0.0006179729,0,Low Risk,Auto Approve
0,0.0012847412,0,Low Risk,Auto Approve
0,8.4679e-05,0,Low Risk,Auto Approve
0,0.014186671,1,Low Risk,Auto Approve
0,6.0039114e-05,0,Low Risk,Auto Approve
0,0.0039304607,0,Low Risk,Auto Approve
0,0.27499142,27,Medium Risk,Quick Verification
0,0.32778388,33,Medium Risk,Quick Verification
0,0.0002454095,0,Low Risk,Auto Approve
0,0.006741933,1,Low Risk,Auto Approve
0,0.37783635,38,Medium Risk,Quick Verification
0,0.0023435915,0,Low Risk,Auto Approve
0,0.01399051,1,Low Risk,Auto Approve
0,0.34888884,35,Medium Risk,Quick Verification
0,0.011752983,1,Low Risk,Auto Approve
0,0.305471,31,Medium Risk,Quick Verification
0,0.05259862,5,Low Risk,Auto Approve
0,0.00012694894,0,Low Risk,Auto Approve
0,0.07550599,8,Low Risk,Auto Approve
1,0.85063165,85,Critical Risk,Fraud Investigation Team
0,0.00030785488,0,Low Risk,Auto Approve
0,0.07140318,7,Low Risk,Auto Approve
0,0.11140863,11,Low Risk,Auto Approve
0,0.0755971,8,Low Risk,Auto Approve
0,0.001545629,0,Low Risk,Auto Approve
0,0.14836262,15,Low Risk,Auto Approve
0,0.085144624,9,Low Risk,Auto Approve
0,0.8525376,85,Critical Risk,Fraud Investigation Team
0,0.4934567,49,Medium Risk,Quick Verification
0,0.37334028,37,Medium Risk,Quick Verification
0,0.76744807,77,Critical Risk,Fraud Investigation Team
0,0.2766345,28,Medium Risk,Quick Verification
0,0.035882313,4,Low Risk,Auto Approve
0,0.49612075,50,Medium Risk,Quick Verification
0,0.0020302266,0,Low Risk,Auto Approve
0,0.0017155029,0,Low Risk,Auto Approve
0,0.001308027,0,Low Risk,Auto Approve
0,0.8215126,82,Critical Risk,Fraud Investigation Team
0,0.45859626,46,Medium Risk,Quick Verification
0,0.07064677,7,Low Risk,Auto Approve
0,0.3020333,30,Medium Risk,Quick Verification
0,0.0019075469,0,Low Risk,Auto Approve
0,0.039612807,4,Low Risk,Auto Approve
1,0.21727863,22,Low Risk,Auto Approve
0,0.47253588,47,Medium Risk,Quick Verification
0,0.29156983,29,Medium Risk,Quick Verification
0,0.0062684263,1,Low Risk,Auto Approve
0,0.025887962,3,Low Risk,Auto Approve
0,0.5575293,56,High Risk,Manual Investigation
0,0.02338361,2,Low Risk,Auto Approve
0,0.0058507174,1,Low Risk,Auto Approve
0,0.00487669,0,Low Risk,Auto Approve
1,0.77835506,78,Critical Risk,Fraud Investigation Team
0,0.023035074,2,Low Risk,Auto Approve
0,0.005704966,1,Low Risk,Auto Approve
0,0.74306065,74,High Risk,Manual Investigation
0,0.16660425,17,Low Risk,Auto Approve
0,0.04621154,5,Low Risk,Auto Approve
0,0.0008215667,0,Low Risk,Auto Approve
0,0.009533988,1,Low Risk,Auto Approve
0,0.42174527,42,Medium Risk,Quick Verification
0,0.0058751,1,Low Risk,Auto Approve
0,0.009387982,1,Low Risk,Auto Approve
0,0.00493062,0,Low Risk,Auto Approve
0,0.0004659458,0,Low Risk,Auto Approve
0,0.13155122,13,Low Risk,Auto Approve
0,0.0019982697,0,Low Risk,Auto Approve
0,0.0044752983,0,Low Risk,Auto Approve
0,0.010443011,1,Low Risk,Auto Approve
0,0.11511428,12,Low Risk,Auto Approve
0,0.56038684,56,High Risk,Manual Investigation
0,0.06540402,7,Low Risk,Auto Approve
1,0.5545573,55,High Risk,Manual Investigation
0,0.0029255326,0,Low Risk,Auto Approve
0,0.012404418,1,Low Risk,Auto Approve
0,0.019174146,2,Low Risk,Auto Approve
0,0.15638156,16,Low Risk,Auto Approve
0,8.865889e-05,0,Low Risk,Auto Approve
0,0.0030462907,0,Low Risk,Auto Approve
0,0.51053774,51,High Risk,Manual Investigation
0,0.00030553326,0,Low Risk,Auto Approve
0,0.0018469652,0,Low Risk,Auto Approve
0,0.01002522,1,Low Risk,Auto Approve
0,0.0020660008,0,Low Risk,Auto Approve
0,8.31753e-05,0,Low Risk,Auto Approve
0,0.055158757,6,Low Risk,Auto Approve
0,0.00020247685,0,Low Risk,Auto Approve
0,0.0017615007,0,Low Risk,Auto Approve
0,0.0071770754,1,Low Risk,Auto Approve
0,0.089359336,9,Low Risk,Auto Approve
0,0.0027009093,0,Low Risk,Auto Approve
0,0.011155722,1,Low Risk,Auto Approve
0,0.037440877,4,Low Risk,Auto Approve
0,2.9294073e-05,0,Low Risk,Auto Approve
0,0.03877454,4,Low Risk,Auto Approve
0,0.04244822,4,Low Risk,Auto Approve
0,0.12660602,13,Low Risk,Auto Approve
0,0.011411951,1,Low Risk,Auto Approve
0,0.13891949,14,Low Risk,Auto Approve
0,0.4190461,42,Medium Risk,Quick Verification
0,0.59910846,60,High Risk,Manual Investigation
0,0.000618396,0,Low Risk,Auto Approve
0,0.00022940563,0,Low Risk,Auto Approve
0,0.36583576,37,Medium Risk,Quick Verification
1,0.8078811,81,Critical Risk,Fraud Investigation Team
0,0.00088050344,0,Low Risk,Auto Approve
0,0.013559438,1,Low Risk,Auto Approve
0,0.12480477,12,Low Risk,Auto Approve
0,0.6757844,68,High Risk,Manual Investigation
0,0.6317821,63,High Risk,Manual Investigation
0,0.00076037605,0,Low Risk,Auto Approve
0,0.0018209326,0,Low Risk,Auto Approve
1,0.6626201,66,High Risk,Manual Investigation
0,0.03979981,4,Low Risk,Auto Approve
0,0.89227694,89,Critical Risk,Fraud Investigation Team
0,0.0009637517,0,Low Risk,Auto Approve
0,0.000111354406,0,Low Risk,Auto Approve
0,0.33811226,34,Medium Risk,Quick Verification
0,0.0018777462,0,Low Risk,Auto Approve
0,0.8454257,85,Critical Risk,Fraud Investigation Team
0,0.66302806,66,High Risk,Manual Investigation
0,0.0005301173,0,Low Risk,Auto Approve
0,0.00058812206,0,Low Risk,Auto Approve
0,0.27829486,28,Medium Risk,Quick Verification
0,0.0025646763,0,Low Risk,Auto Approve
0,0.011959762,1,Low Risk,Auto Approve
0,0.00038179493,0,Low Risk,Auto Approve
0,0.0061571924,1,Low Risk,Auto Approve
0,0.47072813,47,Medium Risk,Quick Verification
0,0.74454653,74,High Risk,Manual Investigation
0,0.0244448,2,Low Risk,Auto Approve
0,0.05835636,6,Low Risk,Auto Approve
0,0.5362914,54,High Risk,Manual Investigation
0,1.8501394e-05,0,Low Risk,Auto Approve
0,0.24333152,24,Low Risk,Auto Approve
0,0.0048055206,0,Low Risk,Auto Approve
0,0.00018249376,0,Low Risk,Auto Approve
0,0.6773567,68,High Risk,Manual Investigation
0,0.1923659,19,Low Risk,Auto Approve
0,0.26094687,26,Medium Risk,Quick Verification
0,0.0003134598,0,Low Risk,Auto Approve
0,0.45568427,46,Medium Risk,Quick Verification
0,0.9370621,94,Critical Risk,Fraud Investigation Team
0,0.019251646,2,Low Risk,Auto Approve
0,0.48009396,48,Medium Risk,Quick Verification
0,0.032010987,3,Low Risk,Auto Approve
0,0.00089493574,0,Low Risk,Auto Approve
0,0.31273755,31,Medium Risk,Quick Verification
0,0.6526356,65,High Risk,Manual Investigation
0,0.8182842,82,Critical Risk,Fraud Investigation Team
0,0.83056444,83,Critical Risk,Fraud Investigation Team
0,0.3710123,37,Medium Risk,Quick Verification
0,0.010086749,1,Low Risk,Auto Approve
0,0.0040790425,0,Low Risk,Auto Approve
0,0.012118548,1,Low Risk,Auto Approve
0,0.088572964,9,Low Risk,Auto Approve
0,0.049509045,5,Low Risk,Auto Approve
0,0.0021481712,0,Low Risk,Auto Approve
0,0.0034536796,0,Low Risk,Auto Approve
0,0.019727448,2,Low Risk,Auto Approve
0,0.0011950276,0,Low Risk,Auto Approve
0,0.0004814331,0,Low Risk,Auto Approve
0,0.52756494,53,High Risk,Manual Investigation
0,0.18340103,18,Low Risk,Auto Approve
0,1.7011182e-05,0,Low Risk,Auto Approve
0,0.0034327195,0,Low Risk,Auto Approve
0,0.24419534,24,Low Risk,Auto Approve
0,0.026798043,3,Low Risk,Auto Approve
0,0.071884215,7,Low Risk,Auto Approve
1,0.48602906,49,Medium Risk,Quick Verification
0,0.00082637015,0,Low Risk,Auto Approve
0,0.06322637,6,Low Risk,Auto Approve
0,0.71460426,71,High Risk,Manual Investigation
0,0.00012987011,0,Low Risk,Auto Approve
0,0.22719418,23,Low Risk,Auto Approve
0,0.7522596,75,High Risk,Manual Investigation
0,0.5314917,53,High Risk,Manual Investigation
0,0.51387405,51,High Risk,Manual Investigation
0,0.049193233,5,Low Risk,Auto Approve
0,0.70648956,71,High Risk,Manual Investigation
1,0.6704938,67,High Risk,Manual Investigation
0,0.021297716,2,Low Risk,Auto Approve
0,0.44485652,44,Medium Risk,Quick Verification
0,0.8241796,82,Critical Risk,Fraud Investigation Team
0,0.002005008,0,Low Risk,Auto Approve
0,0.000583127,0,Low Risk,Auto Approve
0,0.1066968,11,Low Risk,Auto Approve
0,0.00030879318,0,Low Risk,Auto Approve
0,0.00023945753,0,Low Risk,Auto Approve
1,0.40332085,40,Medium Risk,Quick Verification
0,0.79793334,80,Critical Risk,Fraud Investigation Team
0,0.0017035049,0,Low Risk,Auto Approve
0,0.01365873,1,Low Risk,Auto Approve
0,0.68410695,68,High Risk,Manual Investigation
0,0.0003111514,0,Low Risk,Auto Approve
0,0.96862495,97,Critical Risk,Fraud Investigation Team
0,0.0019299559,0,Low Risk,Auto Approve
0,0.71258694,71,High Risk,Manual Investigation
0,0.21338591,21,Low Risk,Auto Approve
0,0.0008572547,0,Low Risk,Auto Approve
0,0.71446526,71,High Risk,Manual Investigation
0,0.65153354,65,High Risk,Manual Investigation
0,0.628267,63,High Risk,Manual Investigation
0,0.0072972625,1,Low Risk,Auto Approve
0,0.007880315,1,Low Risk,Auto Approve
0,0.0044202204,0,Low Risk,Auto Approve
0,0.0019382844,0,Low Risk,Auto Approve
1,0.60369396,60,High Risk,Manual Investigation
0,0.9293767,93,Critical Risk,Fraud Investigation Team
0,0.0052243494,1,Low Risk,Auto Approve
0,0.0054156617,1,Low Risk,Auto Approve
0,0.36285877,36,Medium Risk,Quick Verification
0,0.025565589,3,Low Risk,Auto Approve
0,0.07304455,7,Low Risk,Auto Approve
0,0.009120969,1,Low Risk,Auto Approve
0,0.37526715,38,Medium Risk,Quick Verification
0,0.00072227453,0,Low Risk,Auto Approve
1,0.26879847,27,Medium Risk,Quick Verification
0,0.49067098,49,Medium Risk,Quick Verification
1,0.82201844,82,Critical Risk,Fraud Investigation Team
0,0.09240026,9,Low Risk,Auto Approve
1,0.53474593,53,High Risk,Manual Investigation
0,0.33574376,34,Medium Risk,Quick Verification
1,0.62430364,62,High Risk,Manual Investigation
0,0.015317491,2,Low Risk,Auto Approve
0,0.019206496,2,Low Risk,Auto Approve
0,0.0003464438,0,Low Risk,Auto Approve
0,0.13919252,14,Low Risk,Auto Approve
0,0.0030036876,0,Low Risk,Auto Approve
0,0.12662607,13,Low Risk,Auto Approve
0,0.07747954,8,Low Risk,Auto Approve
0,0.022266692,2,Low Risk,Auto Approve
0,0.00013445629,0,Low Risk,Auto Approve
0,0.3952992,40,Medium Risk,Quick Verification
0,0.002853804,0,Low Risk,Auto Approve
0,0.017430704,2,Low Risk,Auto Approve
0,0.67561185,68,High Risk,Manual Investigation
0,0.03406057,3,Low Risk,Auto Approve
0,0.00070798467,0,Low Risk,Auto Approve
0,0.010860255,1,Low Risk,Auto Approve
0,0.060998715,6,Low Risk,Auto Approve
0,0.00019885466,0,Low Risk,Auto Approve
1,0.36524034,37,Medium Risk,Quick Verification
0,0.0053387242,1,Low Risk,Auto Approve
1,0.5269517,53,High Risk,Manual Investigation
1,0.7950944,80,Critical Risk,Fraud Investigation Team
0,0.20742902,21,Low Risk,Auto Approve
0,0.0021441865,0,Low Risk,Auto Approve
0,0.646318,65,High Risk,Manual Investigation
0,0.2713029,27,Medium Risk,Quick Verification
0,3.4173947e-05,0,Low Risk,Auto Approve
0,0.0024545034,0,Low Risk,Auto Approve
0,0.14729258,15,Low Risk,Auto Approve
0,0.20696391,21,Low Risk,Auto Approve
0,0.014168602,1,Low Risk,Auto Approve
1,0.57637155,58,High Risk,Manual Investigation
0,0.038042814,4,Low Risk,Auto Approve
0,0.20788828,21,Low Risk,Auto Approve
0,0.6537863,65,High Risk,Manual Investigation
0,0.0009410962,0,Low Risk,Auto Approve
0,1.6014777e-05,0,Low Risk,Auto Approve
0,0.7731832,77,Critical Risk,Fraud Investigation Team
0,0.0005395138,0,Low Risk,Auto Approve
0,0.03232027,3,Low Risk,Auto Approve
0,0.37957758,38,Medium Risk,Quick Verification
0,0.0142403,1,Low Risk,Auto Approve
0,0.45080683,45,Medium Risk,Quick Verification
0,0.5362105,54,High Risk,Manual Investigation
0,0.0039593824,0,Low Risk,Auto Approve
0,0.20328313,20,Low Risk,Auto Approve
0,0.014581736,1,Low Risk,Auto Approve
0,0.0010221141,0,Low Risk,Auto Approve
0,0.26605442,27,Medium Risk,Quick Verification
0,0.0008382222,0,Low Risk,Auto Approve
0,0.0010676353,0,Low Risk,Auto Approve
0,0.0007874877,0,Low Risk,Auto Approve
0,0.061475787,6,Low Risk,Auto Approve
0,0.0027567912,0,Low Risk,Auto Approve
0,0.4363949,44,Medium Risk,Quick Verification
0,0.009739502,1,Low Risk,Auto Approve
0,0.0005624399,0,Low Risk,Auto Approve
0,0.004047055,0,Low Risk,Auto Approve
0,0.013459884,1,Low Risk,Auto Approve
0,0.046394836,5,Low Risk,Auto Approve
0,0.020944377,2,Low Risk,Auto Approve
1,0.86114013,86,Critical Risk,Fraud Investigation Team
0,0.0060302746,1,Low Risk,Auto Approve
0,0.002508936,0,Low Risk,Auto Approve
0,0.0015652627,0,Low Risk,Auto Approve
0,0.0054797265,1,Low Risk,Auto Approve
0,5.983301e-05,0,Low Risk,Auto Approve
0,0.25978863,26,Medium Risk,Quick Verification
0,0.00311533,0,Low Risk,Auto Approve
0,0.0083290925,1,Low Risk,Auto Approve
0,0.15272555,15,Low Risk,Auto Approve
0,1.5849939e-05,0,Low Risk,Auto Approve
0,0.46662474,47,Medium Risk,Quick Verification
0,0.0011433798,0,Low Risk,Auto Approve
0,0.039902255,4,Low Risk,Auto Approve
0,0.382437,38,Medium Risk,Quick Verification
0,0.88003075,88,Critical Risk,Fraud Investigation Team
0,0.35089177,35,Medium Risk,Quick Verification
0,0.15578394,16,Low Risk,Auto Approve
0,0.0025186555,0,Low Risk,Auto Approve
0,0.0013337795,0,Low Risk,Auto Approve
0,0.20749994,21,Low Risk,Auto Approve
0,0.0012089032,0,Low Risk,Auto Approve
0,0.026498735,3,Low Risk,Auto Approve
0,0.48912904,49,Medium Risk,Quick Verification
0,0.00792707,1,Low Risk,Auto Approve
0,0.027095445,3,Low Risk,Auto Approve
0,0.16307008,16,Low Risk,Auto Approve
0,0.004108975,0,Low Risk,Auto Approve
0,0.12321615,12,Low Risk,Auto Approve
0,0.7992116,80,Critical Risk,Fraud Investigation Team
0,0.93870974,94,Critical Risk,Fraud Investigation Team
0,9.479822e-05,0,Low Risk,Auto Approve
0,0.00554326,1,Low Risk,Auto Approve
0,0.14873688,15,Low Risk,Auto Approve
0,0.00063396257,0,Low Risk,Auto Approve
0,9.352589e-05,0,Low Risk,Auto Approve
0,0.0018360208,0,Low Risk,Auto Approve
0,0.8843484,88,Critical Risk,Fraud Investigation Team
0,0.0009357839,0,Low Risk,Auto Approve
0,0.6371238,64,High Risk,Manual Investigation
0,0.37627903,38,Medium Risk,Quick Verification
0,0.0016879145,0,Low Risk,Auto Approve
0,0.010428121,1,Low Risk,Auto Approve
0,0.4072871,41,Medium Risk,Quick Verification
0,0.32610628,33,Medium Risk,Quick Verification
0,0.0008125861,0,Low Risk,Auto Approve
0,0.1711818,17,Low Risk,Auto Approve
1,0.1342481,13,Low Risk,Auto Approve
1,0.6218924,62,High Risk,Manual Investigation
0,0.0010854887,0,Low Risk,Auto Approve
0,0.0017363258,0,Low Risk,Auto Approve
0,0.006391545,1,Low Risk,Auto Approve
0,0.015795706,2,Low Risk,Auto Approve
0,0.022118023,2,Low Risk,Auto Approve
0,0.04413396,4,Low Risk,Auto Approve
0,0.012770514,1,Low Risk,Auto Approve
0,0.058099974,6,Low Risk,Auto Approve
0,0.39563704,40,Medium Risk,Quick Verification
0,0.0069809365,1,Low Risk,Auto Approve
0,0.7642313,76,Critical Risk,Fraud Investigation Team
1,0.97938615,98,Critical Risk,Fraud Investigation Team
1,0.4967006,50,Medium Risk,Quick Verification
0,0.028270252,3,Low Risk,Auto Approve
0,0.022382371,2,Low Risk,Auto Approve
0,0.0002972551,0,Low Risk,Auto Approve
0,0.3954441,40,Medium Risk,Quick Verification
1,0.97242594,97,Critical Risk,Fraud Investigation Team
0,0.18543687,19,Low Risk,Auto Approve
0,0.020828774,2,Low Risk,Auto Approve
0,0.0002210875,0,Low Risk,Auto Approve
0,0.00575506,1,Low Risk,Auto Approve
0,0.23556219,24,Low Risk,Auto Approve
0,0.28344727,28,Medium Risk,Quick Verification
0,0.001021895,0,Low Risk,Auto Approve
0,0.0061530476,1,Low Risk,Auto Approve
0,0.05758249,6,Low Risk,Auto Approve
0,0.33167762,33,Medium Risk,Quick Verification
0,0.03579553,4,Low Risk,Auto Approve
1,0.6448089,64,High Risk,Manual Investigation
0,0.0025345278,0,Low Risk,Auto Approve
1,0.32309654,32,Medium Risk,Quick Verification
0,0.006448698,1,Low Risk,Auto Approve
0,0.4650354,47,Medium Risk,Quick Verification
0,0.019455966,2,Low Risk,Auto Approve
0,0.008629263,1,Low Risk,Auto Approve
0,0.500025,50,Medium Risk,Quick Verification
0,0.0025590323,0,Low Risk,Auto Approve
0,0.0793568,8,Low Risk,Auto Approve
0,0.0013851712,0,Low Risk,Auto Approve
0,0.0012318441,0,Low Risk,Auto Approve
0,0.21659857,22,Low Risk,Auto Approve
0,0.10945637,11,Low Risk,Auto Approve
0,0.5767281,58,High Risk,Manual Investigation
0,0.00022678482,0,Low Risk,Auto Approve
0,0.011027644,1,Low Risk,Auto Approve
0,0.0022281606,0,Low Risk,Auto Approve
0,0.0018195654,0,Low Risk,Auto Approve
0,0.4927546,49,Medium Risk,Quick Verification
0,0.11732982,12,Low Risk,Auto Approve
0,0.0817877,8,Low Risk,Auto Approve
0,0.15405768,15,Low Risk,Auto Approve
0,0.3640818,36,Medium Risk,Quick Verification
0,0.7806622,78,Critical Risk,Fraud Investigation Team
0,0.04621674,5,Low Risk,Auto Approve
0,0.29851538,30,Medium Risk,Quick Verification
0,0.61402977,61,High Risk,Manual Investigation
0,0.002330741,0,Low Risk,Auto Approve
0,0.5206945,52,High Risk,Manual Investigation
0,0.007444295,1,Low Risk,Auto Approve
0,0.0009807377,0,Low Risk,Auto Approve
0,0.030273711,3,Low Risk,Auto Approve
0,0.09212389,9,Low Risk,Auto Approve
0,0.35326314,35,Medium Risk,Quick Verification
0,0.12108598,12,Low Risk,Auto Approve
0,0.0017092314,0,Low Risk,Auto Approve
0,0.0028829158,0,Low Risk,Auto Approve
1,0.47056383,47,Medium Risk,Quick Verification
0,0.71882087,72,High Risk,Manual Investigation
0,0.005640868,1,Low Risk,Auto Approve
0,0.5289461,53,High Risk,Manual Investigation
0,0.1310942,13,Low Risk,Auto Approve
0,0.006843022,1,Low Risk,Auto Approve
0,0.005966626,1,Low Risk,Auto Approve
0,0.70751715,71,High Risk,Manual Investigation
0,0.030115077,3,Low Risk,Auto Approve
0,0.00024847966,0,Low Risk,Auto Approve
0,0.00088920514,0,Low Risk,Auto Approve
1,0.6083294,61,High Risk,Manual Investigation
0,0.020239111,2,Low Risk,Auto Approve
0,0.0012175686,0,Low Risk,Auto Approve
0,0.027163075,3,Low Risk,Auto Approve
0,0.18784322,19,Low Risk,Auto Approve
0,0.092669316,9,Low Risk,Auto Approve
0,0.014481357,1,Low Risk,Auto Approve
0,0.0011029195,0,Low Risk,Auto Approve
0,0.04755335,5,Low Risk,Auto Approve
0,0.64663815,65,High Risk,Manual Investigation
0,0.00011013713,0,Low Risk,Auto Approve
0,0.005346442,1,Low Risk,Auto Approve
0,0.010003441,1,Low Risk,Auto Approve
0,0.2590102,26,Medium Risk,Quick Verification
0,0.46969327,47,Medium Risk,Quick Verification
0,0.0003288378,0,Low Risk,Auto Approve
0,0.23477325,23,Low Risk,Auto Approve
0,0.0056476174,1,Low Risk,Auto Approve
0,0.0014658272,0,Low Risk,Auto Approve
0,0.002925996,0,Low Risk,Auto Approve
0,0.059275534,6,Low Risk,Auto Approve
0,0.7348116,73,High Risk,Manual Investigation
0,0.010040034,1,Low Risk,Auto Approve
0,0.0025798536,0,Low Risk,Auto Approve
0,6.305975e-05,0,Low Risk,Auto Approve
0,0.027940104,3,Low Risk,Auto Approve
0,0.0029369423,0,Low Risk,Auto Approve
0,0.0006513678,0,Low Risk,Auto Approve
